system,time_sec,search_qps,search_p99_us,insert_ops,insert_tput,memory_rss_mb
DC-PDI,98.0698,7.23974,83054.6,11104,113.226,824.234
DC-PDI,99.0701,2.60422,89367.2,11197,113.021,824.348
DC-PDI,100.071,7.92441,91996.9,11282,112.74,823.695
DC-PDI,101.072,3.25512,90157.4,11340,112.198,823.832
DC-PDI,102.072,8.5332,93172,11400,111.686,824.34
DC-PDI,103.073,3.93896,91163.7,11444,111.028,825.035
DC-PDI,104.073,9.10896,86801.6,11525,110.739,825.707
DC-PDI,105.074,4.53967,90511.5,11608,110.475,824.855
DC-PDI,106.074,0.216829,93692.7,11694,110.243,825.309
DC-PDI,107.075,5.45413,90004.1,11796,110.166,825.566
DC-PDI,108.076,1.18435,93774.9,11876,109.886,825.129
DC-PDI,109.076,6.08749,99134.9,11983,109.859,825.59
DC-PDI,110.077,1.95319,91305.5,12065,109.605,825.59
DC-PDI,111.077,6.92312,89374.7,12087,108.816,825.82
DC-PDI,112.078,2.82839,89846.9,12189,108.755,825.762
DC-PDI,113.078,7.58766,90222.3,12290,108.686,825.488
DC-PDI,114.079,3.53265,88064,12445,109.091,824.898
DC-PDI,115.079,8.32471,86584.2,12491,108.543,824.898
DC-PDI,116.079,4.27294,88653.7,12591,108.469,824.922
DC-PDI,117.08,0.230611,87499.3,12690,108.387,825.41
DC-PDI,118.081,4.89496,88128,12798,108.384,825.824
DC-PDI,119.081,1.23445,82416.8,12890,108.246,825.547
DC-PDI,120.082,5.73774,85864,12990,108.176,826.203
